user_id,gender,region,role,interest,played_type
U0000,男,北京,中学生,竞技对抗,RPG
U0001,保密,西安,中学生,二次元,动漫
U0002,男,上海,大学生,二次元,动漫
U0003,保密,成都,职场新人,历史考据,肉鸽
U0004,女,武汉,资深极客,赛博朋克,FPS
U0005,女,杭州,中学生,赛博朋克,肉鸽
U0006,保密,北京,大学生,二次元,类魂
U0007,男,广东,全职家长,历史考据,模拟建造
U0008,保密,西安,全职家长,赛博朋克,模拟建造
U0009,男,广东,大学生,历史考据,类魂
U0010,男,成都,自由职业者,赛博朋克,模拟建造
U0011,男,武汉,资深极客,竞技对抗,动漫
U0012,男,上海,职场新人,萌系治愈,动漫
U0013,女,上海,中学生,硬核技术,动漫
U0014,男,成都,全职家长,二次元,RPG
U0015,男,北京,大学生,萌系治愈,动漫
U0016,女,上海,大学生,二次元,动漫
U0017,女,杭州,资深极客,萌系治愈,2.5D游戏
U0018,女,武汉,自由职业者,赛博朋克,FPS
U0019,女,成都,大学生,国风文化,肉鸽
U0020,保密,武汉,中学生,萌系治愈,FPS
U0021,女,武汉,大学生,国风文化,肉鸽
U0022,女,成都,中学生,二次元,FPS
U0023,保密,成都,全职家长,竞技对抗,2.5D游戏
U0024,保密,武汉,全职家长,硬核技术,类魂
U0025,保密,武汉,大学生,国风文化,FPS
U0026,保密,武汉,自由职业者,硬核技术,RPG
U0027,女,上海,大学生,萌系治愈,动漫
U0028,男,杭州,资深极客,萌系治愈,FPS
U0029,女,上海,大学生,二次元,动漫
U0030,男,武汉,中学生,历史考据,肉鸽
U0031,女,上海,大学生,萌系治愈,动漫
U0032,男,北京,资深极客,历史考据,模拟建造
U0033,男,西安,自由职业者,二次元,FPS
U0034,女,北京,中学生,硬核技术,2.5D游戏
U0035,女,广东,职场新人,赛博朋克,类魂
U0036,男,广东,职场新人,赛博朋克,RPG
U0037,男,成都,资深极客,竞技对抗,FPS
U0038,男,成都,中学生,二次元,模拟建造
U0039,女,上海,大学生,二次元,动漫
U0040,男,北京,全职家长,萌系治愈,FPS
U0041,男,杭州,大学生,赛博朋克,RPG
U0042,保密,上海,中学生,竞技对抗,类魂
U0043,保密,武汉,全职家长,萌系治愈,类魂
U0044,男,北京,职场新人,萌系治愈,类魂
U0045,男,武汉,大学生,国风文化,肉鸽
U0046,保密,成都,自由职业者,赛博朋克,类魂
U0047,保密,上海,资深极客,赛博朋克,模拟建造
U0048,女,广东,中学生,竞技对抗,FPS
U0049,女,北京,资深极客,萌系治愈,2.5D游戏
U0050,保密,杭州,全职家长,国风文化,RPG
U0051,保密,西安,资深极客,历史考据,模拟建造
U0052,保密,杭州,资深极客,国风文化,肉鸽
U0053,女,上海,全职家长,历史考据,FPS
U0054,男,广东,中学生,硬核技术,RPG
U0055,保密,上海,资深极客,历史考据,肉鸽
U0056,保密,西安,资深极客,二次元,模拟建造
U0057,男,上海,大学生,萌系治愈,动漫
U0058,女,上海,全职家长,二次元,类魂
U0059,女,上海,大学生,二次元,动漫
U0060,女,上海,大学生,萌系治愈,动漫
U0061,保密,成都,资深极客,竞技对抗,FPS
U0062,保密,北京,自由职业者,二次元,肉鸽
U0063,女,成都,全职家长,二次元,类魂
U0064,女,西安,大学生,国风文化,动漫
U0065,男,北京,大学生,二次元,动漫
U0066,女,上海,职场新人,萌系治愈,动漫
U0067,男,北京,大学生,萌系治愈,动漫
U0068,保密,成都,中学生,历史考据,FPS
U0069,女,北京,全职家长,赛博朋克,2.5D游戏
U0070,保密,杭州,大学生,二次元,类魂
U0071,男,广东,职场新人,二次元,动漫
U0072,女,北京,大学生,二次元,动漫
U0073,男,武汉,自由职业者,历史考据,肉鸽
U0074,男,北京,全职家长,竞技对抗,动漫
U0075,保密,武汉,大学生,历史考据,FPS
U0076,保密,上海,自由职业者,历史考据,2.5D游戏
U0077,女,广东,大学生,萌系治愈,动漫
U0078,保密,广东,大学生,国风文化,肉鸽
U0079,女,西安,自由职业者,赛博朋克,2.5D游戏
U0080,男,北京,中学生,历史考据,RPG
U0081,男,杭州,大学生,历史考据,RPG
U0082,男,广东,自由职业者,硬核技术,2.5D游戏
U0083,女,广东,大学生,二次元,动漫
U0084,男,杭州,自由职业者,竞技对抗,FPS
U0085,男,上海,资深极客,竞技对抗,类魂
U0086,男,上海,大学生,萌系治愈,动漫
U0087,男,广东,职场新人,萌系治愈,动漫
U0088,保密,武汉,中学生,国风文化,肉鸽
U0089,保密,北京,自由职业者,国风文化,FPS
U0090,女,广东,职场新人,国风文化,RPG
U0091,男,上海,全职家长,历史考据,动漫
U0092,女,广东,大学生,萌系治愈,动漫
U0093,保密,成都,大学生,硬核技术,2.5D游戏
U0094,保密,成都,全职家长,历史考据,RPG
U0095,女,武汉,资深极客,二次元,RPG
U0096,男,上海,职场新人,二次元,动漫
U0097,女,上海,大学生,二次元,动漫
U0098,男,北京,职场新人,萌系治愈,动漫
U0099,男,上海,大学生,萌系治愈,动漫
U0100,男,成都,资深极客,赛博朋克,模拟建造
U0101,男,成都,自由职业者,赛博朋克,动漫
U0102,男,广东,大学生,萌系治愈,2.5D游戏
U0103,保密,成都,职场新人,赛博朋克,FPS
U0104,女,上海,大学生,二次元,动漫
U0105,保密,上海,中学生,赛博朋克,肉鸽
U0106,保密,上海,资深极客,萌系治愈,类魂
U0107,男,广东,中学生,国风文化,肉鸽
U0108,男,广东,大学生,硬核技术,2.5D游戏
U0109,女,北京,大学生,二次元,动漫
U0110,男,杭州,职场新人,二次元,FPS
U0111,男,广东,资深极客,国风文化,FPS
U0112,男,西安,自由职业者,赛博朋克,动漫
U0113,女,武汉,中学生,萌系治愈,FPS
U0114,保密,上海,中学生,二次元,肉鸽
U0115,女,西安,全职家长,国风文化,2.5D游戏
U0116,女,西安,自由职业者,历史考据,RPG
U0117,女,西安,大学生,萌系治愈,RPG
U0118,女,广东,大学生,萌系治愈,动漫
U0119,男,杭州,资深极客,赛博朋克,动漫
U0120,保密,北京,职场新人,二次元,FPS
U0121,保密,北京,职场新人,历史考据,RPG
U0122,女,上海,大学生,二次元,动漫
U0123,女,成都,大学生,竞技对抗,2.5D游戏
U0124,女,广东,大学生,萌系治愈,动漫
U0125,保密,武汉,资深极客,国风文化,模拟建造
U0126,男,广东,大学生,二次元,动漫
U0127,女,广东,中学生,硬核技术,FPS
U0128,男,北京,大学生,二次元,动漫
U0129,女,杭州,全职家长,竞技对抗,肉鸽
U0130,女,上海,大学生,萌系治愈,动漫
U0131,男,武汉,大学生,赛博朋克,肉鸽
U0132,男,成都,全职家长,二次元,2.5D游戏
U0133,男,杭州,中学生,历史考据,2.5D游戏
U0134,男,成都,中学生,二次元,动漫
U0135,女,上海,大学生,萌系治愈,动漫
U0136,保密,成都,职场新人,萌系治愈,RPG
U0137,保密,西安,中学生,二次元,肉鸽
U0138,男,北京,自由职业者,硬核技术,2.5D游戏
U0139,女,上海,职场新人,二次元,动漫
U0140,保密,上海,自由职业者,硬核技术,动漫
U0141,保密,成都,资深极客,萌系治愈,RPG
U0142,女,武汉,大学生,萌系治愈,模拟建造
U0143,女,上海,大学生,二次元,动漫
U0144,女,北京,职场新人,萌系治愈,动漫
U0145,保密,武汉,职场新人,国风文化,RPG
U0146,男,上海,职场新人,萌系治愈,动漫
U0147,男,北京,职场新人,萌系治愈,动漫
U0148,保密,武汉,职场新人,竞技对抗,FPS
U0149,保密,武汉,资深极客,硬核技术,RPG
U0150,女,杭州,全职家长,国风文化,2.5D游戏
U0151,男,北京,大学生,二次元,FPS
U0152,女,广东,中学生,硬核技术,RPG
U0153,男,杭州,自由职业者,国风文化,FPS
U0154,女,上海,大学生,萌系治愈,动漫
U0155,女,上海,大学生,二次元,动漫
U0156,保密,上海,大学生,萌系治愈,2.5D游戏
U0157,保密,广东,职场新人,硬核技术,模拟建造
U0158,保密,上海,中学生,竞技对抗,FPS
U0159,保密,西安,职场新人,萌系治愈,2.5D游戏
U0160,男,武汉,大学生,萌系治愈,动漫
